PPN,genre-aad,originInfo-publication0_dateIssued,SprachcodesWinIBW
PPN646234315,"{'Gelegenheitsschrift:Tod', 'Leichenpredigt'}",1768,ger
PPN730596850,{'Liedersammlung'},1560,ger
PPN103176688X,,1781,ger
PPN719718139,"{'Edikt', 'Einblattdruck'}",1702,ger
PPN703204513,{'Leichenpredigt'},1612,ger
PPN718139216,,1915,ger
PPN1736613464,{'Leichenpredigt'},1704,"ger, lat"
PPN898493374,"{'Gelegenheitsschrift:Tod', 'Gelegenheitsschrift:Gedenken'}",1723,"lat, ger"
PPN1670630978,{'Leichenpredigt'},1651,ger
PPN841188009,{'Gelegenheitsschrift:Tod'},1651,ger
PPN1025265203,{'Verordnung'},1796,ger
PPN1030568235,,1896,ger
PPN776821008,"{'Flugschrift', 'Lied'}",1714,ger
PPN816865302,{'Roman'},1805,de
PPN816591415,{'Geldwesen'},1816,de
PPN640631452,,1842,ger
PPN863458327,{'Gelegenheitsschrift:Tod'},1702,ger
PPN653802714,{'Kolportageliteratur'},1722,"ger, fre"
PPN1739151321,,1908,ger
PPN690242972,{'Libretto'},1704,ger
PPN78912467X,"{'Flugschrift', 'Liedersammlung'}",1786,ger
PPN1041292961,,1490,ger
PPN718508491,,1793,ger
PPN1048866254,{'Erzählung'},1851,ger
PPN1698796706,{'Verordnung'},1791,ger
PPN1680855301,{'Verordnung'},1774,ger
PPN667647104,{'Amtsdruckschrift'},1724,ger
PPN672057379,{'Leichenpredigt'},1686,ger
PPN780426649,,1761,ger
PPN720346711,,1798,ger
PPN1067869751,"{'Verordnung', 'Einblattdruck', 'Geldwesen'}",1761,ger
PPN101042761X,{'Verordnung'},1742,ger
PPN626654858,"{'Einblattdruck', 'Karte'}",1741,ger
PPN776094270,,1591,ger
PPN1668468980,,1884,ger
PPN680563334,{'Leichenpredigt'},1608,ger
PPN635905744,{'Reisebericht'},1792,ger
PPN646151673,,1844,ger
PPN623168359,{'Gelegenheitsschrift:Hochzeit'},1746,ger
PPN796825246,{'Komödie'},1797,ger
PPN766370224,,1775,ger
PPN738521930,{'Lyrik'},1781,ger
PPN873829409,{'Streitschrift:theol.'},1666,ger
PPN1682394891,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1736,ger
PPN735478686,"{'Lyrik', 'Gelegenheitsschrift:Geburtstag'}",1743,ger
PPN1670475492,"{'Zitatensammlung', 'Flugschrift', 'Streitschrift:theol.'}",1621,ger
PPN77049014X,{'Flugschrift'},1517,ger
PPN1019673788,{'Leichenpredigtsammlung'},1606,ger
PPN636536408,,1652,ger
PPN1670676439,"{'Streitschrift:theol.', 'Briefsammlung'}",1616,"lat, ger"
PPN885085051,{'Traktat'},1785,ger
PPN1677100001,"{'Anzeige', 'Einblattdruck'}",1780,ger
PPN781633826,{'Leichenpredigt'},1660,ger
PPN1682143767,{'Verordnung'},1776,ger
PPN665464541,{'Predigt'},1719,ger
PPN1047744384,{'Streitschrift:theol.'},1688,ger
PPN69022981X,,1798,ger
PPN877323186,{'Leichenpredigt'},1676,ger
PPN654218544,{'Leichenpredigt'},1673,ger
PPN689530226,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1721,ger
PPN781090385,,1770,ger
PPN668775653,{'Lied'},1555,ger
PPN730145123,"{'Satire', 'Lyrik'}",1715,ger
PPN830283447,"{'Predigt', 'Gelegenheitsschrift:Jubiläum'}",1617,ger
PPN749912804,{'Satire'},1782,ger
PPN640585442,,1838,ger
PPN726545570,,1828,ger
PPN813669650,{'Gelegenheitsschrift:Tod'},1694,ger
PPN885558480,{'Leichenpredigt'},1637,ger
PPN741286424,{'Streitschrift:jur.'},1710,ger
PPN736440291,,1780,ger
PPN858814420,{'Hausväterliteratur'},1616,ger
PPN824833236,{'Praktik'},1591,ger
PPN1680625985,"{'Gelegenheitsschrift:Tod', 'Epikedeion'}",1731,ger
PPN846118521,"{'Lyrik', 'Zeitung'}",1615,ger
PPN737992530,{'Satire'},1784,ger
PPN84896652X,"{'Lyrik', 'Gelegenheitsschrift:Tod'}",1608,ger
PPN654046581,{'Leichenpredigt'},1697,ger
PPN810899167,{'Drama'},1665,ger
PPN1049072294,,1628,ger
PPN1049012836,,1782,ger
PPN665515448,{'Grammatik'},1753,"lat, cze, ger"
PPN737080558,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1611,ger
PPN733715036,{'Lied'},1530,ger
PPN872127192,{'Leichenpredigt'},1743,ger
PPN636343960,,1614,ger
PPN1042450587,,1790,ger
PPN767479882,,1914,ger
PPN84756651X,"{'Gelegenheitsschrift:Hochzeit', 'Predigt'}",1667,ger
PPN723847568,,1556,ger
PPN638665760,"{'Lyrik', 'Erbauungsliteratur'}",1731,ger
PPN78902800X,"{'Predigt', 'Gelegenheitsschrift'}",1690,ger
PPN104351161X,{'Chronik'},1698,"ger$beng, ita"
PPN832930180,{'Dissertation:jur.'},1690,"lat, ger"
PPN103710367X,{'Lyrik'},1706,ger
PPN78679285X,,1731,ger
PPN623910659,,1848,ger
PPN73708278X,{'Lied'},1540,ger
PPN630929599,,1669,ger
PPN792725166,"{'Flugschrift', 'Liedersammlung'}",1810,ger
PPN664566685,{'Leichenpredigt'},1610,ger
PPN826997724,,1795,ger
PPN767850971,,1914,ger
PPN817148701,"{'Gelegenheitsschrift:Tod', 'Biographie'}",1717,ger
PPN740904647,{'Liedersammlung'},1650,ger
PPN773126708,{'Anstandsliteratur'},1793,ger
PPN734922485,{'Tragödie'},1797,ger
PPN819580643,,1810,ger
PPN1005168466,{'Liedersammlung'},1700,ger
PPN1025782852,,1792,ger
PPN1666319686,,1717,ger
PPN631019197,,1699,ger
PPN66827378X,{'Leichenpredigt'},1660,ger
PPN766674851,{'Roman'},1789,ger
PPN756673844,"{'Flugschrift', 'Lied'}",1644,ger
PPN797797734,{'Lyrik'},1520,ger
PPN627045863,{'Amtsdruckschrift'},1783,ger
PPN782955266,{'Leichenpredigt'},1595,ger
PPN1028839405,"{'Verordnung', 'Einblattdruck'}",1774,ger
PPN785311882,{'Flugschrift'},1539,ger
PPN729729613,,1916,ger
PPN1035867818,"{'Biographie', 'Kommentar: theol.'}",1842,ger
PPN751189650,{'Lied'},1540,ger
PPN1029349169,,1672,ger
PPN1000946657,,1918,ger
PPN1043598820,{'Meßkatalog'},1604,"lat, ger"
PPN101225500X,"{'Novelle', 'Märchen'}",1917,ger
PPN812638433,{'Gelegenheitsschrift:Hochzeit'},1683,ger
PPN715593587,{'Libretto'},1800,"ger, ita"
PPN68780213X,{'Gelegenheitsschrift:Tod'},1664,"lat, ger"
PPN847039595,"{'Gelegenheitsschrift:Tod', 'Gelegenheitsschrift:Amtsantritt', 'Gebet'}",1688,ger
PPN772044031,,1512,ger
PPN874248825,{'Gelegenheitsschrift:Tod'},1740,ger
PPN1047054833,"{'Gelegenheitsschrift:Amtsantritt', 'Gelegenheitsschrift:Krönung'}",1740,ger
PPN736671595,{'Lied'},1560,ger
PPN1749482371,{'Leichenpredigt'},1707,ger
PPN738219231,"{'Lyrik', 'Frauenliteratur'}",1792,ger
PPN858598817,"{'Gesellschaftsschrift', 'Traktat'}",1756,ger
PPN770591299,{'Flugschrift'},1518,ger
PPN87066297X,{'Flugschrift'},1793,"fre, ger"
PPN631907017,{'Lyrik'},1734,ger
PPN631118683,{'Medizin'},1785,ger
PPN878220038,{'Gelegenheitsschrift:Tod'},1731,ger
PPN841173567,,1732,ger
PPN1046469177,{'Lyrik'},1782,ger
PPN1028399979,"{'Lyrik', 'Schulbuch'}",1703,ger
PPN752371770,"{'Komödie', 'Bücheranzeige'}",1797,ger
PPN718483898,{'Leichenpredigt'},1639,ger
PPN778439445,{'Auktionskatalog'},1769,ger
PPN1687138044,{'Gelegenheitsschrift:Tod'},1680,ger
PPN1016518080,,1774,ger
PPN1663809607,{'Leichenpredigt'},1651,ger
PPN884334562,{'Leichenpredigt'},1692,ger
PPN636781615,{'Lyrik'},1741,ger
PPN1677238194,,1843,ger
PPN1046215302,{'Lyrik'},1815,ger
PPN1773411675,{'Leichenpredigt'},1604,ger
PPN1012155498,,1799,ger
PPN690224745,{'Libretto'},1722,ger
PPN838465269,{'Predigtsammlung'},1757,ger
PPN830009531,,1875,ger
PPN1005523347,{'Amtsdruckschrift'},1700,ger
PPN857562665,,1615,ger
PPN657083453,{'Leichenpredigt'},1648,ger
PPN166452570X,{'Leichenpredigt'},1651,ger
PPN729006344,{'Gelegenheitsschrift:Tod'},1687,ger
PPN817937978,,1700,ger
PPN800134869,{'Geographie'},1723,ger
PPN1024912019,,1802,ger
PPN749887303,"{'Brief', 'Streitschrift:theol.'}",1561,ger
PPN735002428,,1531,ger
PPN627764940,,1704,ger
PPN737154071,"{'Gelegenheitsschrift:Hochzeit', 'Lyrik'}",1640,ger
